Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ironCrossbowBoltDesc,items,Ammo,EnChanged,An iron-tipped bolt for the crossbow. Hold reload to use alternate ammo.\n [ Crafted in Ammunition Table. ],,"Ein Bolzen mit Eisenspitze für die Armbrust. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.\n [ Herzustellen im [dd6262]Munitionstisch[-] ]",,
pumpShotgunSchematicDesc,items,Book,EnChanged,Learn how to repair and disassemble all shotguns by reading this schematic.,,"Lerne, wie du Schrotflinten zusammengesetzt und reparierst.",,
animalHidePoncho,items,Clothes,EnChanged,Leather Poncho,Poncho en peau de bête,Lederponcho,,Poncho de piel de animal
bandanaClothesGroupDesc,items,Clothes,EnChanged,Bandanas provide some protection against damage.,Les bandanas vous protègent lorsqu'il fait chaud et vous protègent également contre d'autres sortes de dégâts,Halstücher bieten etwas Schutz vor Schaden.,,
hazmatShirt,items,Clothes,EnChanged,Hazmat Jacket,Chemise de protection,Schutzanzugjacke,,Camisa de material peligroso
shadesDesc,items,Clothes,EnChanged,Sunglasses make you look cool.,Les lunettes de soleil vous donnent l'air cool et vous protègent des rayons solaires.,Mit einer Sonnenbrille siehst du cool aus.,,Con estas gafas te ves cool, además te mantienes fresco en climas calurosos. 
coffeeBeansDesc,items,Farming,EnChanged,Brew coffee at a campfire or craft the beans into coffee seeds.,,Braue Kaffee am Lagerfeuer oder verarbeite die Bohnen zu Kaffeesamen.,,
foodYuccaFruitDesc,items,Food,EnChanged,Yucca fruit is edible and can be juiced to gain a bit of water. It is harvested from cacti and yucca plants.,Les fruits de yucca se mangent et peuvent être cueillis sur les cactus.,Die Yucca-Frucht ist essbar und kann von Kakteen geerntet werden.,,La yuca es comestible y se puede recoger de los cactus.
moldyBreadDesc,items,Food,EnChanged,Eat at your own risk. Can be used to craft antibiotics.\n [ Crafted in [dd6262]Chemistry Station[-]  ],,"Auf eigene Gefahr essen. Kann benutzt werden, um Antibiotika herzustellen.\n[ Herzustellen in der [dd6262]Chemie-Station[-] ]",,
blunderbussDesc,items,Gun,EnChanged,A primitive muzzle loader can be crafted from mainly forged iron. Effective at very close ranges.,Une arme primitive à chargement par la bouche peut être fabriquée à partir de tuyaux,Ein einfacher Vorderlader der hauptsächlich aus geschmiedetem Eisen gefertigt wird. Ist im Nahkampf sehr effektiv.,,
gunMP5Desc,items,Gun,EnChanged,This silenced submachine gun uses 9mm ammo. Can be repaired if you read the schematic.,Cette formidable mitraillette nécessite des munitions de calibre 9 mm. L'arme peut être réassemblée et réparée si vous lisez le schéma.,"Diese schallgedämpfte Maschinenpistole verwendet 9 mm Munition. Kann zusammengesetzt und repariert werden, wenn du den Bauplan gelesen hast.",,
animalHideDesc,items,Item,EnChanged,Use animal hide to make warm clothing and leather.\n [ Crafted in [dd6262]Drying Rack[-]  ],Après avoir lu « Le livre du cuir »,"Tierhäute dienen dazu, warme Kleidung und Leder herzustellen.\n [ Herzustellen am [dd6262]Trockengestell[-] ]",,
bellowsDesc,items,Item,EnChanged,Bellows made with wood leather and pipes are needed to make a forge.,Un soufflet est fait de bois,"Blasebälge bestehen aus Holz, Leder und Rohren, und sind notwendig, um eine Schmiede zu bauen.",,
oilShaleDesc,items,Item,EnChanged,Oil shale can be found in the desert.,,Ölschiefer kann in der Wüste gefunden werden.,,
springDesc,items,Item,EnChanged,Springs are great for making furniture vault doors hatches and more.\n [ Crafted in [dd6262]Advanced Workbench[-]  ],,"Schraubenfedern eignen sich prima dazu, Möbel, Tresortüren, Klappen und mehr zu fertigen.\n [ Herzustellen in der [dd6262]verbesserten Werkbank[-] ]",,
yuccaFibersDesc,items,Item,EnChanged,Plant fibers are acquired from destroying grass & small plants. Can be used to craft many things and for planting grass using the secondary action.,Les fibres végétales sont une ressource commune obtenue en détruisant de l'herbe et de petites plantes. Elles peuvent servir à fabriquer de nombreuses choses,Pflanzenfasern bekommt man von Gras und kleineren Pflanzen. Sie haben viele Verwendungszwecke. Mit der sekundären Aktion kann Gras gepflanzt werden.,,
painkillersDesc,items,Medical,EnChanged,Painkillers help you shrug off stunning blows and heal you a little over time. Like all chems they make you thirsty.,Vous avez pris des antidouleurs.,Schmerzmittel helfen dir betäubende Schläge abzuwehren und heilen dich ein wenig über die Zeit. Wie alle Arzneien machen sie dich durstig.,,Tomaste analgésicos.
partsAuger_bladeDesc,items,Part,EnChanged,Used to assemble an auger. If your science skill is high enough you can recraft and improve it at the workbench.\n [ Crafted in [dd6262]Advanced Workbench[-] with a Chisel. ],,Ein Teil eines Erdbohrers. Wenn du in Wissenschaft gut bist dann kannst du ihn auf einer Werkbank neu fertigen und verbessern.\n [ Herzustellen in der [dd6262]verbesserten Werkbank[-] mit einem Stechbeitel ],,
partsChainsaw_bladeDesc,items,Part,EnChanged,Used to assemble a chainsaw. If your science skill is high enough you can recraft and improve it at the workbench.\n [ Crafted in [dd6262]Advanced Workbench[-] with a Chisel. ],,Ein Teil einer Kettensäge. Wenn du in Wissenschaft gut bist dann kannst du es auf einer Werkbank neu fertigen und verbessern.\n [ Herzustellen in der [dd6262]verbesserten Werkbank[-] mit einem Stechbeitel ],,
concreteMixingDesc,progression,Perk,EnChanged,Unlocks the ability to make cement. To make concrete you also need a cement mixer.,Déverrouille la possibilité de fabriquer du béton et la bétonnière.,Schaltet die Herstellung von Zement frei. Um Beton herzustellen benötigst du zusätzlich einen Betonmischer.,,Desbloquea la habilidad de crear hormigón y el mezclador de cemento.
deadShotDesc,progression,Perk,EnChanged,Shoot them dead with style!  Every rank increases your chance to blow off heads and limbs with pistols and revolvers.,Tuez-les avec classe ! Améliorez vos chances d'exploser des têtes et des membres avec votre pistolet au fil des rangs.,Erschieße sie mit Stil mit Pistolen und Revolvern! Jeder Rang erhöht die Chance Köpfe und Gliedmaßen abzuschießen.,,¡Mátalos con estilo! Aumenta las posibilidades de que el revólver haga que los sesos y las extremidades de los enemigos salgan volando con nada nivel.
theOutlawDesc,progression,Perk,EnChanged,You broke the laws of logic. Your pistol or revolver does more damage with every rank.,La logique n'a plus d'effet sur vous. Votre pistolet inflige de plus en plus de dégâts au fil des rangs.,Du hast die Gesetze der Logik gebrochen. Pistolen und Revolver verursachen mit jedem Rang mehr Schaden.,,Has quebrantado las leyes de la lógica. El revólver inflige más daño con cada nivel.
44MagnumRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft .44 magnum rounds at a workbench.,Apprenez à fabriquer des cartouches de .44 magnum.,"Lerne, wie .44 Magnum Patronen gefertigt werden.",,
762mmRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft 7.62mm rounds at a workbench.,Apprenez à fabriquer des cartouches de calibre 7,"Lerne, wie 7,62 mm Patronen gefertigt werden.",,
9mmRoundCraftingDesc,progression,Skill,EnChanged,Learn to craft 9mm rounds at a workbench.,Apprenez à fabriquer des cartouches de calibre 9 mm.,"Lerne, wie 9 mm Patronen gefertigt werden.",,
clothingArmor,progression,Skill,EnChanged,Clothing / Armor,Armure lourde,Kleidung / Rüstung,,Armadura pesadas
clothingArmorDesc,progression,Skill,EnChanged,Receive less damage while wearing clothing or armor. Gain skill by taking damage while wearing items from this group. Increasing this skill unlocks more Armor recipes,,"Erleide weniger Schaden, während du Kleidung oder Rüstung trägst. Erhöhe diese Fertigkeit, indem du Schaden erleidest, während du Gegenstände aus dieser Kategorie trägst. Erhöhe diese Fertigkeit, um weitere Rüstungsrezepte freizuschalten.",,
healthNutDesc,progression,Skill,EnChanged,Raise your minimum and maximum wellness with every rank of this perk.,Augmente votre bien-être minimal et maximal de 10 points par rang.,Erhöhe den Mindest- und Maximalwert für dein Wohlbefinden mit jedem Rang dieser Eigenschaft.,,Aumenta 10 puntos de tu bienestar máximo y mínimo por nivel.
miner69erDesc,progression,Skill,EnChanged,Increase both block damage and harvested resources while decreasing the stamina used with mining tools.,Infligez 20 % de dégâts de bloc avec les outils miniers et consommez 10 % d'endurance en moins par coup par rang.,Erhöhe den Blockschaden und die erbeuteten Resourcen mit Bergbauwerkzeugen und verbrauche weniger Ausdauer pro Schlag.,,Inflige 20 % más de daño en bloque con herramientas de minería. Además, cada golpe consume un 10 % menos de resistencia por nivel.
shotgunShellCraftingDesc,progression,Skill,EnChanged,Learn to craft shotgun shells at a workbench.,Apprenez à fabriquer des cartouches de fusil à pompe.,"Lerne, wie Schrotflintenmunition gefertigt wird.",,
runForestRun,progression,Skill,EnChanged FrChanged,Run Forrest Run,Cours Forrest,"Lauf Forrest, lauf!",,
goDifficulty2,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Adventurer,Aventurier,Abenteurer,,Aventurero
goDifficulty3,UI,Menu,EnChanged FrChanged GrChanged SpChanged ,Nomad (default),Nomade (par défaut),Nomade (Standard),,Nómada (predeterminado)
woodenBowDesc,items,Gun,EnChanged GrChanged,Good for hunting and killing zombies. Uses stone iron and steel-tipped arrows for ammunition.,Un arc en bois. Idéal pour la chasse et pour tuer des zombies. Requiert des flèches comme munitions. Maintenez le bouton de rechargement enfoncé pour utiliser un autre type de munition.,"Gut für die Jagd und um Zombies zu töten. Verwendet Pfeile mit Stein-, Eisen- oder Stahlspitzen. Nachladen gedrückt halten, um zwischen Munitionsarten zu wechseln.",,
cementDesc,items,Item,EnChanged GrChanged,Cement is used to craft concrete mix. This requires the concrete perk and a cement mixer.\n [ Crafted in [dd6262]Forge[-] and [dd6262]Advanced Forge[-] ],Après avoir acheté l'avantage du béton,Zement wird benutzt um Betonmischung herzustellen. Daür brauchst du auch die Fertigkeit 'Beton' und einen Betonmischer.\n  [ Herzustellen im [dd6262]Schmiedeofen[-] und im [dd6262]verbesserten Schmiedeofen[-] ],,
rock01,blocks,Block,EnChanged GrChanged KgNone,Small Rock 01,Petite pierre,Kleiner Stein 01,,Piedra pequeña
rock02,blocks,Block,EnChanged GrChanged KgNone,Small Rock 02,Petite pierre,Kleiner Stein 02,,Piedra pequeña
rock03,blocks,Block,EnChanged GrChanged KgNone,Small Rock 03,Petite pierre,Kleiner Stein 03,,Piedra pequeña
rock04,blocks,Block,EnChanged GrChanged KgNone,Small Rock 04,Petite pierre,Kleiner Stein 04,,Piedra pequeña
rock05,blocks,Block,EnChanged GrChanged KgNone,Small Rock 05,Petite pierre,Kleiner Stein 05,,Piedra pequeña
rock06,blocks,Block,EnChanged GrChanged KgNone,Small Rock 06,Petite pierre,Kleiner Stein 06,,Piedra pequeña
rock07,blocks,Block,EnChanged GrChanged KgNone,Small Rock 07,Petite pierre,Kleiner Stein 07,,Piedra pequeña
rock08,blocks,Block,EnChanged GrChanged KgNone,Small Rock 08,Petite pierre,Kleiner Stein 08,,Piedra pequeña
rock09,blocks,Block,EnChanged GrChanged KgNone,Small Rock 09,Petite pierre,Kleiner Stein 09,,Piedra pequeña
rock10,blocks,Block,EnChanged GrChanged KgNone,Small Rock 10,Petite pierre,Kleiner Stein 10,,Piedra pequeña
rock11,blocks,Block,EnChanged GrChanged KgNone,Small Rock 11,Petite pierre,Kleiner Stein 11,,Piedra pequeña
rock12,blocks,Block,EnChanged GrChanged KgNone,Small Rock 12,Petite pierre,Kleiner Stein 12,,Piedra pequeña
craftSkillArmor,progression,Skill,EnChanged KeyChanged,Armor Crafting,Forgeron d'armures,Rüstungsschmied,,Forjar armaduras
craftSkillArmorDesc,progression,Skill,EnChanged KeyChanged,Craft armor and clothes faster and at better quality while repairing them more efficiently. Buy levels of this perk to increase your skill in crafting your Armor.,,Fertige Rüstungen und Kleidung schneller und von besserer Qualität und repariere sie zugleich effizienter. Kaufe weiter Level dieser Fertigkeit um die Qualität zu verbessern.,,
candleTable,blocks,Block,EnChanged KgNone,Candle Table (POI),Bougie,Freistehende Kerze (POI),,Vela
candleWall,blocks,Block,EnChanged KgNone,Candle Wall (POI),Bougie,Kerze mit Wandhalterung (POI),,Vela
candleTablePlayer,blocks,Block,New,Candle Table,Bougie,Freistehende Kerze,,Vela
candleWallPlayer,blocks,Block,New,Candle Wall,Bougie,Kerze mit Wandhalterung,,Vela
treeAzalea,blocks,Block,EnChanged KgNone,Azalea,Bois,Azalee,,Madera
wallTorch,blocks,Block,EnChanged KgNone,Torch (Heat Free),Torche,Fackel (POI),,Antorcha
wallTorchPlayer,blocks,Block,New,Wall Torch,Torche,Fackel mit Wandhalterung,,Antorcha
woodStairsBoard,blocks,Block,EnChanged KgNone,Wood board stairs,Marches d'escaliers en bois,Holzstufen,,Tabla de escaleras de madera
mushroom01,blocks,Farming,EnChanged,Mushrooms 01 (POI),Champignons 01,Pilze 01 (POI),,Setas 01
mushroom02,blocks,Farming,EnChanged,Mushrooms 02 (POI),Champignons 02,Pilze 02 (POI),,Setas 02
plantedBlueberry3Harvest,blocks,Farming,EnChanged KgNone,Blueberry Plant (Harvestable),Myrtilles 3 récoltables,Heidelbeerpflanze (erntebereit),,Sembrado Mora 3 Cosecha
signShopColdBeer,blocks,Sign,EnChanged KgNone,Sign (C)old Beer,Panneau bière fraîche,Bierladenschild,,Letrero de tienda Cerveza fría
woodLogSpike1Desc,blocks,Trap,EnChanged KgNone,"Log spike traps can damage, cripple, even kill enemies and last longer than spike traps. Place them using the secondary action. After Steel, you will need a wrench along with gas cans to upgrade to a Flaming Spike (Upgradable)","Les pièges avec des piques en rondin de bois peuvent infliger des dégâts aux ennemis, voire les handicaper ou les tuer. Ils durent plus longtemps que les pièges avec des piques. Placez-les à l'aide de l'action secondaire. (Améliorable)","Fallen mit spitzen Stämmen können Gegnern schaden, sie lähmen und sogar töten. Sie halten länger als Stachelfallen. Platziere sie mit der sekundären Aktion. Nach der Stahlaufwertung benötigst du eine Rohrzange und Benzinkanister um diese zu brennenden Spitzen aufzuwerten. (Aufwertbar)",,
alcoholPoisoningDesc,buffs,Buff,EnChanged KgNone,You have alcohol poisoning. There may be a duration but you're too sick to figure it out.,"Vous êtes en état d'ébriété. Les effets ont une durée limitée, mais vous ne la connaissez pas.","Du hast eine Alkoholvergiftung. Dies hält vielleicht eine gewisse Zeit an, aber du bist zu betrunken um dies rauskriegen.",,"Tienes una congestión alcohólica. Puede que solo sea durante un rato, pero no sabes cuánto durará."
beerBuzz,buffs,Buff,EnChanged KgNone,Buzzed,Boost à la bière,Bierrausch,,Cerveza Buzz
ballCap,items,Clothes,EnChanged KgNone,White Baseball Cap,Casquette de baseball,Baseballmütze,,Gorra de béisbol
blueberrySeed,items,Farming,EnChanged KgNone,Blueberry Seed,Graines de myrtille,Samen: Heidelbeere,,Semillas de mora
potatoSeed,items,Farming,EnChanged KgNone,Potato Seed,Graines de pomme de terre,Samen: Kartoffel,,Semillas de papa
treePlantedMaple1mDesc,items,Farming,EnChanged KgNone,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, damit ein Baum daraus wird. Sie würden vielleicht auch in der Wüste wachsen, bevorzugen aber lieber Erdboden zum wachsen.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedMountainPine1mDesc,items,Farming,EnChanged KgNone,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, damit ein Baum daraus wird. Sie würden vielleicht auch in der Wüste wachsen, bevorzugen aber lieber Erdboden zum wachsen.",,Planta estas semillas en la tierra para que crezca un árbol.
treePlantedWinterPine1mDesc,items,Farming,EnChanged KgNone,Plant these seeds in dirt to grow a tree. They may grow in the desert but do prefer more fertile ground.,Plantez ces graines dans la terre pour faire pousser un arbre.,"Pflanze diese Samen in Erde, damit ein Baum daraus wird. Sie würden vielleicht auch in der Wüste wachsen, bevorzugen aber lieber Erdboden zum wachsen.",,Planta estas semillas en la tierra para que crezca un árbol.
beerDesc,items,Food,EnChanged KgNone,Gain stamina bravado and stun immunity all in one bottle of this tasty home brewed beer. Just like grandpa used to make.\n [ Crafted in [dd6262]Brewery Station[-] . ],"Boire une bouteille de cette délicieuse bière artisanale vous offre de l'endurance, une dose de bravoure et une haute opinion de vous-même. Exactement comme celle que faisait papy.","Erhalte Ausdauer, Wagemut und ein großes Ego. All das in nur einer Flasche dieses leckeren selbst gebrauten Biers. Das gleiche Bier, das Opa früher immer braute.\n [ Herzustellen in der [dd6262]Brauerei-Station[-] ]",,"Aumenta tu resistencia, valentía y tu gran ego con una simple botella de esta deliciosa cerveza casera. Tal y como el abuelo solía hacerla."
ironFragment,items,Item,EnChanged KgNone,Raw Iron,Éclats de fer,Eisenbruchstücke,,Trozos de hierro
ironFragmentDesc,items,Item,EnChanged KgNone,Raw iron should be smelted in a forge but can also be scrapped at a loss.,Objet essentiel pour forger. Il peut aussi servir à fabriquer des munitions de tromblon.,"Eisenbruchstücke sollten im Schmiedeofen eingeschmolzen werden, können aber auch unter etwas Verlust zerlegt werden.",,Un objeto de forja básico que se puede usar también para fabricar munición para trabucos.
leatherDesc,items,Item,EnChanged KgNone,Leather can be used to make a variety of things including clothing crossbows and bellows for a forge.\n [ Crafted in [dd6262]Drying Rack[-]  ],"Après avoir lu « Le livre du cuir », le cuir peut servir à fabriquer un tas de choses, comme des vêtements et des arbalètes.","Mit Leder können verschiedene Sachen hergestellt werden, darunter Kleidung, Armbrüste und Blasebälge für die Schmiede.\n [ Herzustellen am [dd6262]Trockengestell[-] ]",,"El cuero se puede usar para fabricar varios objetos, como ropa o ballestas, una vez que has leído el libro del Cuero."
rottingFleshDesc,items,Item,EnChanged KgNone,You can eat it but it is probably better used to make fertilizer in a cement mixer.,"Vous pouvez en manger, mais vous pouvez le regretter.","Du kannst es essen, aber es ist vermutlich besser geeignet um im Betonmischer daraus Dünger zu machen.",,
painkillers,items,Medical,EnChanged KgNone,Painkillers,Antidouleurs,Schmerzmittel,,Analgésicos
pickupCrops,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0} {1},Appuyer sur <{{0}}> pour ramasser {0} {1},"<{{0}}> drücken, um {0} {1} aufzuheben",,Presiona <{{0}}> para recoger {0} {1}.
pickupPrompt,UI,HUD,EnChanged KgNone,Press <{{0}}> to pick up: {0},Appuyer sur <{{0}}> pour ramasser {0},"<{{0}}> drücken, um {0} aufzuheben",,Presiona <{{0}}> para recoger {0}.
friendInviteAccepted,UI,Menu,EnChanged KgNone,Accepted friend request from {0}.,Vous avez accepté la demande d'allié de {0}.,Freundschaftsanfrage von {0} angenommen.,,Aceptaste la solicitud de aliado de {0}.
friendInviteAccepted2,UI,Menu,EnChanged KgNone,{0} accepted your friend request.,{0} a accepté votre demande d'allié.,{0} hat deine Freundschaftsanfrage angenommen.,,{0} aceptó tu solicitud de aliado.
friendInviteDeclined,UI,Menu,EnChanged KgNone,Declined friend invite from {0}.,Vous avez refusé la demande d'allié de {0}.,Freundschaftsanfrage von {0} abgelehnt.,,Rechazaste la invitación de aliado de {0}.
friendInviteDeclined2,UI,Menu,EnChanged KgNone,{0} declined your friend request.,{0} a refusé votre demande d'allié.,{0} hat deine Freundschaftsanfrage abgelehnt.,,{0} rechazó tu solicitud de aliado.
friendInviteReceived,UI,Menu,EnChanged KgNone,Friend invite received from {0}.,Vous avez reçu une demande d'allié de {0}.,Freundschaftsanfrage von {0} erhalten.,,Recibiste una solicitud de aliado de {0}.
friendRemoved,UI,Menu,EnChanged KgNone,{0} was removed from your friends list.,Vous avez retiré {0} de votre liste d'alliés.,{0} wurde aus deiner Freundesliste entfernt.,,Se eliminó a {0} de tu lista de aliados.
friendRemoved2,UI,Menu,EnChanged KgNone,{0} removed you from their friends list.,{0} vous a retiré(e) de sa liste d'alliés.,Du wurdest aus der Freundesliste von {0} entfernt.,,{0} te eliminó de su lista de aliados.
friendSentInvite,UI,Menu,EnChanged KgNone,Friend invite sent to {0}.,Vous avez envoyé une demande d'allié à {0}.,Freundschaftsanfrage an {0} geschickt.,,Invitación de aliado enviada a {0}.
goDayLengthDesc,UI,Menu,EnChanged KgNone,How long it takes for 24 hours to pass in the game.,Durée réelle d'un cycle de 24 heures dans le jeu.,"Bestimmt, wie lange es in Echtzeit dauert, bis 24 Stunden im Spiel vergehen.",,Cuánto tardan en pasar las 24 horas en el juego en minutos reales.
lblCategoryScavenging,UI,Tooltip,EnChanged KgNone,Scavenging/Trading,Glanage,Plündern,,Carroñar
itemTooltipFocusedOne,UI,Use Prompt,EnChanged KgNone,<{0}> Collect: {1},<{0}> pour récupérer {1},<{0}> Sammle {1},,<{0}> Recoge {1}
itemTooltipFocusedSeveral,UI,Use Prompt,EnChanged KgNone,<{0}> Collect: {2} of {1},<{0}> pour récupérer {1} sur {2},<{0}> Sammle {2} von: {1},,<{0}> Recoge {2} de {1}
cannotBreatheTooltip,buffs,Buff,EnChanged,You cannot breathe.,,Du kannst nicht atmen.,,
freshAirDesc,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
freshAirTooltip,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
InstantSickDrunk,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,,,,,
chainLink,blocks,Block,GrChanged,Chain Link,Grillage,Maschendrahtzaun,,Eslabón
chainLinkCornerBottom,blocks,Block,GrChanged,Chain Link Corner Bottom,Angle inférieur de grillage,Maschendrahtzaun – Untere Ecke,,Eslabón inferior de esquina
chainLinkCornerTop,blocks,Block,GrChanged,Chain Link Corner Top,Angle supérieur de grillage,Maschendrahtzaun – Obere Ecke,,Eslabón superior de esquina
chainLinkFenceBottomPole,blocks,Block,GrChanged,Chain Link Fence Bottom Pole,Pied de poteau de grillage,Maschendrahtzaun – Unterer Zaunpfahl,,Poste de eslabón inferior de valla
chainLinkFenceTop,blocks,Block,GrChanged,Chain Link Fence Top,Sommet de grillage,Maschendrahtzaun – Oberer Zaun,,Eslabón superior de valla
chainLinkFenceTopPole,blocks,Block,GrChanged,Chain Link Fence Top Pole,Sommet de poteau de grillage,Maschendrahtzaun – Oberer Zaunpfosten,,Poste de eslabón superior de valla
chainLinkFenceTopPole2,blocks,Block,GrChanged,Chain Link Fence Top Pole2,Sommet de poteau de grillage 2,Maschendrahtzaun – Oberer Zaunpfosten 2,,Poste de eslabón superior de valla 2
chainLinkPole,blocks,Block,GrChanged,Chain Link Pole,Poteau de grillage,Maschendrahtzaun – Pfosten,,Poste de eslabón
corrugatedMetalCTRPlate,blocks,Block,GrChanged,Corrugated Metal Center Plate,Plaque de tôle centrale,Wellblechplatte – Mittig,,Placa central de metal corrugado
ductSoft,blocks,Block,GrChanged,Duct Soft,Conduit souple,Luftschacht,,Conducto flexible
ductSoftCorner,blocks,Block,GrChanged,Duct Soft Corner,Angle de conduit souple,Luftschacht – Ecke,,Esquina de conducto flexible
ductSoftCorner2,blocks,Block,GrChanged,Duct Soft Corner2,Angle de conduit souple 2,Luftschacht – Ecke 2,,Esquina 2 de conducto flexible
