Key,Source,Context,Changes,English,French,German,Klingon,Spanish
ObjectiveRepair_keyword,,Keywords,KgNone,Repair,Réparer,Reparieren,,Repara
ObjectiveScrap_keyword,,Keywords,KgNone,Scrap,Recycler,Zerlegen,,Desguaza
ObjectiveSpendSkillPoints_keyword,,Keywords,KgNone,Purchase {0} Skill Level(s),Acheter {0} niveau(x) de compétence,Kaufe {0} Fertigkeitslevel(s),,Compra {0} nivel(es) de habilidad
ObjectiveTime_keyword,,Keywords,KgNone,Time,Durée,Zeit,,Tiempo
ObjectiveTreasureChest_keyword,,Keywords,KgNone,Treasure Found,Trésor trouvé,Schatz gefunden,,Tesoro encontrado
ObjectiveWear_keyword,,Keywords,KgNone,Wear,Porter,getragen,,Vestir
ObjectiveZombieKill_keyword,,Keywords,KgNone,Kill,Tuer,Töten,,Mata
RequirementBuff_keyword,,Keywords,KgNone,Effect,Effet,Effekt,,Efecto
RequirementHolding_keyword,,Keywords,KgNone,Using,Avec,Unter Verwendung von,,En uso
RequirementLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RequirementWearing_keyword,,Keywords,KgNone,Wear,Porter,Tragen,,Vestir
RewardExp_keyword,,Keywords,KgNone,EXP,EXP,ERF,,EXP
RewardLevel_keyword,,Keywords,KgNone,Level,Niveau,Level,,Nivel
RewardQuest_keyword,,Keywords,KgNone,New Quest,Nouvelle quête,Neue Quest,,Nueva misión
RewardRecipe_keyword,,Keywords,KgNone,Recipe Unlocked,Composition déverrouillée,Rezept freigeschaltet,,Receta desbloqueada
RewardSkill_keyword,,Keywords,KgNone,Skill,Compétence,Fertigkeit,,Habilidad
RewardSkillPoint_keyword,,Keywords,KgNone,Skill Point,Point de compétence,Fertigkeitspunkt,,Punto de habilidad
requirementGroupFireaxe,,Requirement Group,KgNone,Holding Fire Axe,Tenir une hache de pompier,Feueraxt halten,,Sostener un hacha de incendio
requirementGroupShotgun,,Requirement Group,KgNone,Holding Shotgun,Tenir un fusil à pompe,Schrotflinte halten,,Sostener una escopeta
tutorialTipQuest01,,Popup Tip,KgNone,Welcome to Ravenhearst. Before you begin PLEASE make sure you read every quest and carefully do the opening quest line. Many things have been changed and the opening quest is designed to walk you through these changes. All descriptions have been carefully been made clearer so if you get stuck make sure to check them for help.,"Camarade,\n\nCes terres désolées peuvent être impitoyables et tu sembles avoir besoin d'aide. Tu trouveras ci-joint un petit guide de survie. Si tu te débrouilles bien, tu rejoindras peut-être nos rangs. Le hameau de la Rivière blanche existe, et il est sûr.\n\nBonne chance, Noah","Willkommen bei Ravenhearst. Bevor du startest, stelle sicher, dass du jede Quest liest und die Startquestreihe sorgfältig erledigst. Viele Sachen wurden geändert und die Startquest dient dazu, dich durch diese Änderungen zu führen. Alle Beschreibungen wurden detailiert gemacht, wenn du einmal nicht weiter weist, sieh zuerst da nach.",,"Querido/a amigo/a:\n\nEl páramo puede ser un sitio peligroso y parece que necesitas una mano. Encontrarás una pequeña guía adjunta para ayudarte a sobrevivir. Si la completas, puede que te aceptemos como un nuevo ciudadano. El asentamiento Río Blanco es real y seguro.\n\nBuena suerte, Noah."
tutorialTipQuest02,,Popup Tip,KgNone,"This mod has been a labor of love created by many people. Huge thank you to Sinder who has put in so many hours of testing, Dan Capo for his amazing balancing, Sphereii for being so patient and helpful with many issues. So many others like Dex, Fallen Dice, Copendub, FranticDan, 2ndRecon, Soulbreeze and bradmin for many hours of testing, and my awesome patient wife shortypants1976. Without them there would be no mod.\nJaxTeller718",,"Hier steckt eine Menge Liebe von vielen Leuten drin. Ein großer Dank an: Sinder, die so viele Stunden mit testen verbracht hat. Dex für seine Freundschaft. dancapo für seine großartigen Ratschläge beim Ausbalancieren und Fehlerbeheben. Sowie Fallen Dice, Copendub, FranticDan, 2ndRecon, Soulbreeze, bradmin, Azuren und meiner großartigen, geduldigen Frau shortypants1976. Ohne diese Leute gäbe es keine Mod.\nJaxTeller718 - Deutsche Mod-Übersetzung: Scomar",,
skillPointTip,,Popup Tip,EnChanged,You have earned Skill Points. You can earn Skill Points by leveling up or completing quests you find out in the world. Some perks have scrollable pages in Progression. To see what each perk or skill unlocks use the arrows on the page to advance the page and check future unlocks.,"Vous avez gagné un point de compétence en terminant la quête « Les bases de la survie ». Pour le dépenser, accédez à votre inventaire et ouvrez le menu des compétences, puis sélectionnez la compétence ou l'avantage de votre choix et procédez à l'achat.","Du hast Fertigkeitspunkte erhalten. Du kannst sie beim Levelanstieg oder vom Abschließen von Quest, welche du in der ganzen Welt finden kannst, bekommen. Nutze sie, indem du von deinem Inventar aus das Fertigkeiten-Menü aufsuchst, die gewünschte Fertigkeit oder Eigenschaft markierst und dann kaufst. Manche Skills haben mehrere Stufen, mit den Pfeilen im rechten Infofenster kannst du zwischen diesen Stufen hin und herschalten um zu sehen welche Dinge du auf der jeweiligen Stufe freischaltest.",,"Ganaste un Punto de habilidad por completar la misión Supervivencia básica. Para gastarlo, accede a tu Inventario y navega al menú de Habilidades. Luego, selecciona la habilidad o beneficio deseado y cómpralo."
quest_BasicSurvival,,Quest Info,KgNone,Basic Survival,Les bases de la survie,Das 1x1 des Überlebens,,Supervivencia básica
quest_BasicSurvival1,,Quest Info,Reordered,Basic Survival 1/12,Les bases de la survie 1/8,Das 1x1 des Überlebens 1/12,,Supervivencia básica 1/8
quest_BasicSurvival1_subtitle,,Quest Info,Reordered,Craft a Bedroll,Fabriquer un sac de couchage,Fertige einen Schlafsack,,Fabrica un saco de dormir.
quest_BasicSurvival1_description,,Quest Info,Reordered,Craft a Bedroll by gathering cotton plants and crafting cloth. You can find the bedroll in your Basics category in your backpack. Beds can restore health if you stand on them. Making better beds can be VERY relaxing and heal you for more. \n\nPlace the Bedroll using the secondary action key. The icon on your map will show you the way home unless it is destroyed or picked up and will act as your respawn point.,"Fabriquez un sac de couchage à l'aide de fibres végétales. Une fois les composants acquis, ouvrez votre inventaire de fabrication, accédez à la catégorie des compositions de base, sélectionnez la composition souhaitée, puis cliquez sur le bouton de fabrication. \n\nÉquipez le sac de couchage, puis placez-le à l'aide de la touche d'action secondaire. Une fois placé, une icône de lit s'affichera sur votre boussole et votre carte. Cette icône vous aidera à retrouver votre foyer et servira de point de réapparition si vous veniez à mourir.","Fertige einen Schlafsack, indem du Pflanzenfasern sammelst. Du findest den Schlafsack im Reiter ''Grundlagen'' in deinem Inventar. Betten regenerieren deine Gesundheit wenn du auf ihnen stehst. Besser Betten können SEHR entspannend sein und dich noch mehr heilen.\n\nPlatziere den Schlafsack in der Welt, indem du ihn zuerst ausrüstest und dann die sekundäre Aktionstaste verwendest. Wenn er platziert ist, erscheint ein Bett-Symbol auf deinem Kompass und deiner Karte. Dies wird dich zurück nach Hause führen, und außerdem wirst du hier wiedererscheinen, falls du stirbst.\n\nPlatziere den Schlafsack in der Welt, indem du ihn zuerst ausrüstest und dann die sekundäre Aktionstaste verwendest. Wenn er platziert ist, erscheint ein Bett-Symbol auf deinem Kompass und deiner Karte. Dies wird dich zurück nach Hause führen, und außerdem wirst du hier wiedererscheinen, falls du stirbst.",,"Fabrica un saco de dormir con fibra vegetal. Una vez tengas los ingredientes, abre el menú de fabricación, ve a la categoría de recetas básicas, selecciona la receta y presiona el botón de fabricar. \n\nPara poner el saco de dormir en el mundo, equípalo y presiona el botón de acción secundaria. Una vez puesto, verás un icono de una cama en la brújula y en el mapa. Esto te guiará de nuevo a tu casa y será un punto de reaparición si mueres."
quest_BasicSurvival2,,Quest Info,Reordered,Basic Survival 2/12,Les bases de la survie 3/8,Das 1x1 des Überlebens 2/12,,Supervivencia básica 3/8
quest_BasicSurvival2_subtitle,,Quest Info,Reordered,Craft Plant Fiber Clothing,Fabriquer un vêtement en fibres végétales,Fertige Kleidung aus Pflanzenfasern,,Fabrica ropa de fibra vegetal.
quest_BasicSurvival2_description,,Quest Info,Reordered,"Craft plant fiber clothing to protect you from damage and keep you warm in cold weather. Gather plant fibers by attacking grass and small plants. Once you have the ingredients, access the Inventory and locate the Clothing category of the Crafting window. You can make more advanced armor by crafting a Tailor Station and a Blacksmith Station.","Fabriquez un vêtement en fibres végétales pour vous protéger et vous tenir chaud lorsque les températures baissent. Collectez des fibres végétales en détruisant de l'herbe et de petites plantes. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la catégorie des vêtements de la fenêtre de fabrication. Fabriquez un vêtement en fibres végétales.","Fertige Kleidung aus Pflanzenfasern, um dich vor Schaden zu schützen und dich bei kaltem Wetter warm zu halten. Sammle Pflanzenfasern, indem du Gras und kleinere Pflanzen angreifst. Wenn du die Zutaten hast, öffne dein Inventar und wähle im Fertigungs-Fenster die Kategorie Kleidung aus. Fertige Kleidung aus Pflanzenfasern. Du kannst bessere Rüstung und Kleidung in der Schneider-Werkbank und der Schmiede-Station herstellen.",,"Fabrica ropa de fibra vegetal para protegerte de daño y mantenerte en calor cuando haga frío. Ataca a la hierba o a las plantas pequeñas para recoger fibra vegetal. Una vez que tengas los ingredientes, accede al Inventario y localiza la ropa en la ventana de Fabricación. Fabrica ropa de fibra vegetal."
quest_BasicSurvival3,,Quest Info,Reordered,Basic Survival 3/12,Les bases de la survie 4/8,Das 1x1 des Überlebens 3/12,,Supervivencia básica 4/8
quest_BasicSurvival3_subtitle,,Quest Info,Reordered,Wear Plant Fiber Clothing,Porter un vêtement en fibres végétales,Trage Kleidung aus Pflanzenfasern,,Ponte ropa de fibra vegetal.
quest_BasicSurvival3_description,,Quest Info,Reordered,"To wear your plant fiber clothing, access the Inventory and select an article of clothing, then select Wear in the Action window. Once dressed, access the Character menu to see the insulation and defense your worn clothing provides in the top left of the Character window.","Pour porter votre vêtement en fibres végétales, rendez-vous dans l'inventaire, sélectionnez le vêtement, puis sélectionnez l'action de porter dans la fenêtre des actions. Une fois le vêtement porté, accédez au menu du personnage pour consulter son isolation et sa défense, en haut à gauche de la fenêtre du personnage.","Um deine Kleidung aus Pflanzenfasern zu tragen, öffne dein Inventar und wähle ein Kleidungsstück aus. Dann wähle im Aktions-Fenster ''Tragen'' aus. Wenn du Kleidung trägst, öffne das Charakter-Menü, um oben links zu sehen, wie viel Wärmedämmung und Verteidigung sie bietet.",,"Para ponerte la ropa de fibra vegetal, accede al Inventario y selecciona la prenda. Entonces, selecciona Vestir en la ventana de Acción. Una vez vestido, accede al menú del Personaje para ver el aislamiento y la defensa que aporta la ropa que te has puesto en la esquina superior izquierda de la ventana del Personaje."
quest_BasicSurvival4,,Quest Info,KgNone,Basic Survival 4/12,Les bases de la survie 10/11,Das 1x1 des Überlebens 4/12,,Supervivencia básica 10/11
quest_BasicSurvival4_subtitle,,Quest Info,Reordered,Scrapping Logs and Wood,Fabriquez une hache de pierre,Zerlege Baumstämme und Holz,,Fabrica un hacha de piedra.
quest_BasicSurvival4_description,,Quest Info,Reordered,Acquire wood logs from cutting down a tree. You can scrap the wood logs into normal wood in your inventory. You can make sticks by scrapping the wood down. Later you can craft a Wood Cutter for better returns.,"Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.","Fälle einen Baum um Stämme zu erhalten. Du kannst diese Baumstämme zerlegen um normales Holz zu erhalten. Wenn du dieses Holz weiter zerlegst, erhältst du Stöcke. Später kannst du einen Holzhäcksler herstellen, um besseren Ertrag zu erhalten.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival5,,Quest Info,Reordered,Basic Survival 5/12,Les bases de la survie 5/8,Das 1x1 des Überlebens 5/12,,Supervivencia básica 5/8
quest_BasicSurvival5_subtitle,,Quest Info,Reordered,Craft A Stone Pickaxe,Fabriquer une massue en bois,Fertige eine Steinspitzhacke,,Fabrica un garrote de madera.
quest_BasicSurvival5_description,,Quest Info,Reordered,Gather wood by scrapping the logs you acquire from trees. You can find rocks on the ground. The Stone Pickaxe is good at acquiring rocks and some ores. The Stone Axe is now only useful for harvesting wood and repairing and upgrading. You will need a stone pickaxe for mining duties.,"Collectez du bois en détruisant des arbres et des buissons. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la massue en bois dans la catégorie de base de la fenêtre de fabrication. Fabriquez une massue en bois.",Sammle Holz durch das Zerlegen von Stämmen des gefällten Baumes. Steine kannst du vom Boden aufsammeln. Die Steinspitzhacke ist gut um Steine und einige Erze zu sammeln. Die Steinaxt ist nur noch nützlich beim Holzsammeln sowie Reparieren und aufwerten. Für Bergbauaufgaben benötigst du eine Steinspitzhacke. ,,"Ataca árboles y arbustos para reunir madera. Una vez que tengas los ingredientes, accede al Inventario y localiza el Garrote de madera en la categoría Básico de la ventana de Fabricación. Fabrica un garrote de madera."
quest_BasicSurvival6,,Quest Info,Reordered,Basic Survival 6/12,Les bases de la survie 6/8,Das 1x1 des Überlebens 6/12,,Supervivencia básica 6/8
quest_BasicSurvival6_subtitle,,Quest Info,Reordered,Craft Bow & Arrows,Fabriquer un arc et des flèches,Fertige einen Bogen und Pfeile,,Fabrica un arco y flechas.
quest_BasicSurvival6_description,,Quest Info,Reordered,"Now that you have a melee weapon, you could use a ranged weapon. Scrap wood into  sticks and gather stone, plant fibers and feathers found in bird nests on the ground. Scrap wood into Sticks and use stones to craft Stone Arrow Heads. Once you have the ingredients, access the Basics category of the Crafting window. Craft a Wooden Bow and Arrows.","Maintenant que vous disposez d'une arme de mêlée, une arme de jet pourrait s'avérer utile. Collectez du bois, de la pierre, des fibres végétales et des plumes trouvées dans les nids d'oiseau au sol. Une fois les composants acquis, accédez à la catégorie de base de la fenêtre de fabrication. Fabriquez un arc en bois et des flèches.","Jetzt da du eine Nahkampfwaffe hast, kannst du auch eine Fernkampfwaffe gebrauchen. Zerlege Holz in Stöcke, sammle Steine, Pflanzenfasern und Federn aus Vogelnestern auf dem Boden. Zerlege Holz in Stöcke und benutze Steine um Steinpfeilspitzen zu erstellen. Wenn du die Zutaten hast, wähle die Kategorie ''Grundlagen'' im Fertigungsfenster. Fertige einen Holzbogen und Pfeile.",,"Ahora que tienes un arma cuerpo a cuerpo, no estaría mal un arma a distancia. Reúne madera, piedra, fibra vegetal y plumas que puedes encontrar por el suelo, en nidos de pájaros. Una vez que tengas los ingredientes, accede a la categoría Básico de la ventana de Fabricación. Fabrica un arco de madera y flechas."
quest_BasicSurvival7,,Quest Info,Reordered,Basic Survival 7/12,Les bases de la survie 7/8,Das 1x1 des Überlebens 7/12,,Supervivencia básica 7/8
quest_BasicSurvival7_subtitle,,Quest Info,Reordered,Start a Base,Commencer à construire une base,Baue eine Basis,,Empieza una base.
quest_BasicSurvival7_description,,Quest Info,Reordered,Gather wood and some nails and Craft Wooden Frames from the Basics category of the Crafting window. You can make Scrap Iron Nails by hitting rocks and scrapping the Raw Iron into Scrap Iron. Place Wooden Frames in the world by equipping them and using the secondary action. Upgrade them with a Stone Axe using the secondary action while you have extra wood in your Inventory.,"Collectez du bois et fabriquez des structures en bois dans la catégorie de base de la fenêtre de fabrication. Équipez les structures en bois, puis placez-les à l'aide de l'action secondaire. Grâce au bois supplémentaire dans votre inventaire, vous pouvez les améliorer avec une hache de pierre, à l'aide de l'action secondaire.","Sammle Holz und einige Nägel, fertige über die Kategorie ''Grundlagen'' im Fertigungsfenster Holzrahmen. Du kannst Nägel herstellen in dem du die gesammelten Eisenbruchstücke, welche du beim Abbauen von Steinen erhalten kannst, zerlegst und dann Alteisen erhältst. Platziere Holzrahmen in der Welt, indem du sie ausrüstest und die sekundäre Aktion verwendest. Werte sie mit einer Steinaxt und der sekundären Aktion auf, während du über zusätzliches Holz im Inventar verfügst.",,Reúne madera y fabrica estructuras de madera desde la categoría Básico de la ventana de Fabricación. Equipa las estructuras de madera y usa el botón de acción secundaria para colocarlas en el mundo. Mejóralas usando la acción secundaria con un hacha de piedra si tienes madera extra en tu inventario.
quest_BasicSurvival8,,Quest Info,KgNone,Basic Survival 8/12,Les bases de la survie 8/8,Das 1x1 des Überlebens 8/12,,Supervivencia básica 8/8
quest_BasicSurvival8_subtitle,,Quest Info,KgNone,Build a Basic Campfire,Construire un feu de camp,Stelle ein einfaches Lagerfeuer her,,Enciende una fogata.
quest_BasicSurvival8_description,,Quest Info,KgNone,Gather small stones wood and coal from boulders Craft a Basic Campfire from the Basics category of the Crafting window. Equip the Campfire and place it in the world using the secondary action. Once placed you can use the campfire to warm yourself or cook. The Basic Campfire is very limited. To make better recipes you will want to craft an Advanced Campfire,"Collectez de petites pierres et fabriquez un feu de camp dans la catégorie de base de la fenêtre de fabrication. Équipez le feu de camp, puis placez-le à l'aide de l'action secondaire. Une fois placé, vous pouvez l'utiliser pour vous réchauffer ou cuisiner.","Sammle kleine Steine, Holz und Kohle von Felsbrocken. Fertige über die Kategorie Grundlagen im Fertigungsfenster ein einfaches Lagerfeuer. Rüste das Lagerfeuer aus und platziere es mit der sekundären Aktion in der Welt. Wenn es platziert ist, kannst du das Lagerfeuer verwenden, um dich warm zu halten oder um zu kochen. Das einfache Lagerfeuer ist sehr gegrenzt. Für bessere Rezepte musst du ein verbessertes Lagerfeuer herstellen.",,"Reúne piedras pequeñas y fabrica una fogata desde la categoría Básico de la ventana de Fabricación. Para poner la fogata en el mundo, equípala y usa la acción secundaria. Una vez puesta, podrás usar la fogata para cocinar o para entrar en calor."
quest_BasicSurvival9,,Quest Info,KgNone,Basic Survival 9/12,Les bases de la survie 9/11,Das 1x1 des Überlebens 9/12,,Supervivencia básica 9/11
quest_BasicSurvival9_subtitle,,Quest Info,KgNone,Store Your Items,Construire un feu de camp,Lagere deine Gegenstände,,Enciende una fogata.
quest_BasicSurvival9_description,,Quest Info,KgNone,Gather paper and duct tape and Craft a Cardboard Box from the Basics category of the Crafting window. Place the box somewhere safe. Store your valuable items in this box. Storage is limited and smaller as you start out. You can unlock better storage as you progress through the Storage Perks in the Progression Window.,"Collectez de petites pierres et fabriquez un feu de camp dans la catégorie de base de la fenêtre de fabrication. Équipez le feu de camp, puis placez-le à l'aide de l'action secondaire. Une fois placé, vous pouvez l'utiliser pour vous réchauffer ou cuisiner.",Sammle Papier und Klebeband und stelle in der Grundlagenkategorie im Fertigungsfenster einen Pappkarton her. Platziere den Karton an einem sicheren Ort. Lege deine Wertvollen Sachen in den Karton. Die Lagerkapazität zu Beginn ist klein und begrenzt. Um bessere Lagermöglichkeiten freizuschalten nutze im Skillbereich Fertigkeiten für Lagermöglichkeiten.,,"Reúne piedras pequeñas y fabrica una fogata desde la categoría Básico de la ventana de Fabricación. Para poner la fogata en el mundo, equípala y usa la acción secundaria. Una vez puesta, podrás usar la fogata para cocinar o para entrar en calor."
quest_BasicSurvival10,,Quest Info,KgNone,Basic Survival 10/12,Les bases de la survie 10/11,Das 1x1 des Überlebens 10/12,,Supervivencia básica 10/11
quest_BasicSurvival10_subtitle,,Quest Info,Reordered,Craft A Spear,Fabriquez une hache de pierre,Stelle einen Speer her,,Fabrica un hacha de piedra.
quest_BasicSurvival10_description,,Quest Info,Reordered,Acquire the materials needed to craft a stone tipped spear. You can acquire Sticks by scrapping wood in your Inventory. Spears are good for long range combat. You can eventually make better spears.,"Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.",Sammle die Materialien um einen Speer mit Steinspitze herzustellen. Du bekommst Stöcke durch das zerlegen von Holz in deinem Inventar. Speere sind gut zum Kämpfen und um sich Gegner etwas weiter weg vom Leib zu halten. Du kannst vielleicht später bessere Speere herstellen.,,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival11,,Quest Info,KgNone,Basic Survival 11/12,Les bases de la survie 10/11,Das 1x1 des Überlebens 11/12,,Supervivencia básica 10/11
quest_BasicSurvival11_subtitle,,Quest Info,Reordered,Craft a Stone Shovel,Fabriquez une hache de pierre,Stelle eine Steinschaufel her,,Fabrica un hacha de piedra.
quest_BasicSurvival11_description,,Quest Info,Reordered,"Craft a Stone Shovel to help you gather crafting ingredients. Gather the ingredients by using your Stone Axe on grass, stone, or wood objects. You can also pick up small stones by looking at them and using the Pickup action. Once you have the ingredients, access the Inventory and locate Stone Shovel in the Basics category of the Crafting window. Craft a Stone Shovel and use it on the ground to gather clay sand and dirt.","Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.","Fertige eine Steinschaufel, die wird dir helfen um weitere Materialen zu sammeln. Sammle die Zutaten in dem du die Steinaxt verwendest. Nutze sie bei Gras oder Holzobjekten. Die kannst kleine Steine auch aufsammeln wenn du dich in der Welt umschaust und diese aufhebst. Wenn du die Zutaten gesammelt hast, gehe in dein Inventar, wähle die Steinschaufel in der Grundlagenkategorie im Fertigungsfenster aus. Fertige die Steinschaufel und benutze sie am Boden um Lehm, Sand und Erde zu sammeln.",,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
quest_BasicSurvival12,,Quest Info,KgNone,Basic Survival 12/12,Les bases de la survie 10/11,Das 1x1 des Überlebens 12/12,,Supervivencia básica 10/11
quest_BasicSurvival12_subtitle,,Quest Info,Reordered,Craft Flagstone Blocks,Fabriquez une hache de pierre,Stelle Bruchsteinblöcke her,,Fabrica un hacha de piedra.
quest_BasicSurvival12_description,,Quest Info,Reordered,Using your stone shovel gather the required ingredients and craft some alternate building blocks.,"Fabriquez une hache de pierre pour vous défendre et collecter des composants. Collectez des composants en détruisant de l'herbe, des pierres et des objets en bois. Vous pouvez également ramasser de petites pierres en les regardant et en utilisant l'action de ramasser. Une fois les composants acquis, rendez-vous dans l'inventaire et cherchez la hache de pierre dans la catégorie de base de la fenêtre de fabrication. Fabriquez une hache de pierre.",Benutze deine Steinschaufel um die benötigten Materialien zu sammeln und fertige dann ein paar alternative Blöcke zum Bauen.,,"Fabrica un hacha de piedra para ayudarte a defenderte y reunir ingredientes para fabricar. Ataca la hierba, piedras u objetos de madera para reunir los ingredientes. También puedes recoger piedras pequeñas si las miras y usas la acción Recoger. Una vez que tengas los ingredientes, accede al Inventario y localiza el Hacha de piedra en la categoría Básico de la ventana de Fabricación. Fabrica un hacha de piedra."
challenge_silenceofthelambs,,Challenge Info,KgNone,Silence of the Lambs,Le silence des agneaux,Das Schweigen der Lämmer,,El silencio de los inocentes
challenge_silenceofthelambs_offer,,Challenge Info,KgNone,"Dear Survivor,\nIf you've found this note then you know my crew and I have been watching you from afar. You're pretty good at survival but let's see if you can pass this test and just maybe we'll let you join our clan.\n\nGood Luck, Crazy Jax\n\nChallenge: Kill a screamer zombie.","Salut la terreur,\nSi tu as trouvé ce message, tu sais maintenant que mon équipe et moi t'observons de loin. Tu te débrouilles pas mal en survie, mais voyons si tu réussis ce test. On te laissera peut-être rejoindre notre clan après ça.\n\nBonne chance, Jax le cinglé\n\nDéfi : tuer un zombie hurleur","Lieber Überlebender!\nWenn du diese Notiz gefunden hast, dann weißt du, dass meine Leute und ich dich aus der Ferne beobachtet haben. Du schlägst dich ganz gut im Überlebenskampf, aber sehen wir mal, ob du diesen Test bestehst. Und vielleicht darfst du dich dann unserem Klan anschließen.\n\nViel Glück! Crazy Jax\n\nHerausforderung: Töte einen Schreier-Zombie.",,"Querido/a sobreviviente:\nSi encuentras esta nota, sabrás que mi grupo y yo te hemos estado vigilando desde lejos. Se te da muy bien eso de sobrevivir, pero veamos si puedes pasar esta prueba. Si lo haces, quizá te puedas unir a nuestro clan.\n\nBuena suerte, Jax el Loco.\n\nDesafío: Mata a un zombi gritón."
challenge_silenceofthelambs_subtitle,,Challenge Info,KgNone,Kill some Screamer Zombie,Tuer des zombies hurleurs,Töte ein paar Schreier-Zombie,,Mata zombis gritones
challenge_drunkanddisorderly,,Challenge Info,KgNone,Drunk and Disorderly,Bagarre d'ivrogne,Dicht und dichter,,Embriaguez y escándalo
